title,year,authors,venue,citations
Duc Truong Pham,,,,0
Estimating the Parameters of GP Model and AR model using Gibbs Sampler for Spatio-Temporal Datawith Comparison Study,,,,0
"Hayat, Khizar 181 Huang, Ke 355 Ikeda, Kenji 233 Iwasokun, Gabriel Babatunde 87",,,,0
Intelligent Production and Manufacturing Optimisation - The Bees Algorithm Approach,,,,0
Model Reference Hinf Strategy Based on Sensitivity Decoupling Method for Dual Stage Actuator Servo Control in Hard Disk Drive,,,,0
Robust Scaled H∞ Control of Quad Rotor in Wind Filed,,,,0
Robust Strategy for Speed Control of Permanent Magnet Synchronous Motor in Quadrotor Driven System,,,,0
Encoderless motion control systems using smart SKF sensor bearings,2000,,,1
HIGH-PERFORMANCE DRIVES EMPLOYING SMART SENSOR BEARINGS,2000,,,0
High-Performance Drives Employing Smart SKF Sensor Bearings,2000,,,3
"AKM Joukhadar and al:"" Sensorless Drives, state-of-the-Art"", proc on CD of PCIM'2001-Nurenberg",2001,,,3
IMPLEMENTATION OF SENSORLESS INDUCTION AND PERMANENT MAGNET SYNCHRONOUS MOTOR DRIVES USING NATURAL FIELD ORIENTATION,2001,,,2
"SENSORLESS DRIVES, STATE-OF-THE-ART KEY-NOTE Paper IM",2001,,,16
Recent Developments in Sensorless and Quasi-Sensorless Drive,2002,,,6
SENSORLESS DRIVES – FROM THE STATE-OF-THE-ART TO FUTURE TRENDS,2002,,,0
Sensorless Drivers,2002,,,0
Sensorless induction motor and permanent magnet synchronous motor drives using natural field orientation,2002,,,7
DSP-BASED SENSORLESS AND QUASI-SENSORLESS DRIVES FOR ROTATING AND LINEAR MOTORS,2003,,,0
Quasi and Fully Sensorless Speed Control of Indirect RFOC Induction Motor Drives for Low Speed Operation,2004,,,0
Fuzzy Logic-Like PI Controller-Based Duty Cycle Control of AC/DC Space Vector Modulation (SVM) Converter Driven DC Motor,2010,,,0
Novel ANN Based-Sensorless Speed Estimation of DC Motor Control (Mechatronics Approach),2010,,,0
Speed sensorless control of DFIG based MRAS observer,2010,,,12
Mobile robot-based motion control and intelligent collision avoidance,2011,,,2
Performance Enhancement Based-Adaptive Sliding Mode Assisted –Recursive Maximum Likelihood Estimator for Sensorless Control of Linear Motion Control System,2011,,,0
Real time control of multi-agent mobile robots with intelligent collision avoidance system,2013,,,11
نمذجة ومحاكاة منظومة تغذية كهربائية تكيفية مستحدثة بهدف تحسين اقتصادية الوقود في السيارات باستخدام SUMILINK & C-CODE/MATLAB‎,2013,,,0
Intelligent collision avoidance for multi agent mobile robots,2014,,,10
A novel control-navigation system-based adaptive optimal controller EKF localization of DDMR,2015,,,9
Integral LQR-Based 6DoF Autonomous Quadrocopter Balancing System Control,2015,,,13
Solving Maze Problem Using Newly Modified Tremaux’s Algorithm with the Bees Algorithm,2017,,,5
Design and implementation of auto car driving system with collision avoidance,2018,,,6
Trajectory tracking control of a quadcopter UAV using nonlinear control,2018,,,23
UKF-based enhancement and ROS implementation of 4-WDDMR localization with advanced control system,2018,,,3
Using the Bees Algorithm for wheeled mobile robot path planning in an indoor dynamic environment,2018,,,50
A HIGH PERFORMANCE ROBUST HARD DISK DRIVE CONTROLLER USING PARAMETER-DEPENDENT LYAPUNOV FUNCTION APPROACH,2019,,,0
Adaptive LQ-based computed-torque controller for robotic manipulator,2019,,,9
LQR-BASED CONTROL OF A SINGLE MOTOR ELECTRONIC WEDGE BRAKE EWB FOR AUTOMOTIVE BRAKE–BY–WIRE SYSTEM,2019,,,12
"Mechanism, Machine, Robotics and Mechatronics Sciences",2019,,,4
UKF-Assisted SLAM for 4WDDMR Localization and Mapping,2019,,,6
تعديل تابع الانتماء في طريقة المربعات الصغرى الضبابية FLS ودمجها مع نظام الاستدلال الضبابي SUGENO لمعالجة حالات عدم التأكد‎,2019,,,0
A NEWLY DEVELOPED ADAPTIVE BACKSTEPPING-ASSISTED MRAS CONTROL,2020,,,0
A portable Raspberry Pi-based system for diagnosis of heart valve diseases using automatic segmentation and artificial neural networks,2020,,,4
Control Systems and Applications,2020,,,15
Machine vision and navigation,2020,,,42
UKF-Based Image Filtering and 3D Reconstruction,2020,,,10
Unmanned robotic systems and applications,2020,,,2
Adaptive Control of a Manipulator with Closed Kinematic Chains and Linear Actuator,2021,,,3
Population of the Bees Algorithm for Robot Path Planning in a Static,2022,,,0
Α new method to generate the initial population of the Bees Algorithm for robot path planning in a static environment,2022,,,3
A New Approach for Solving Boundary and Initial Value Problems by Coupling the HE Method and Sawi Transform,2023,,,2
Acknowledgment to the Reviewers of Designs in 2022,2023,,,0
Acknowledgment to the Reviewers of Sensors in 2022,2023,,,0
Intelligent Production and Manufacturing Optimisation: The Bees Algorithm Approach,2023,,,2
Toward a Computationally Efficient Solution of the Inverse Kinematics Problem Using Machine Learning,2023,,,1
Eine neue Methode zur Erzeugung der Anfangspopulation des Bienenalgorithmus für die Roboterpfadplanung in einer statischen Umgebung,2024,,,0
"Frontiers of Artificial Intelligence, Ethics, and Multidisciplinary Applications",2024,,,3
Roboterpfadplanung in einer statischen Umgebung,2024,,,0
A Novel Swarm-UAV Formation Tracking Control Based on Networked-MPC and Dual Quaternion Algebra,2025,,,0
Design and Experimental Evaluation of EKF-LQR Navigation on Raspberry Pi for Autonomous Mobile Robots,2026,,,0
Improving Classification in Support Vector Machine Using Neutrosophic Logic.,2026,,,0
