query,title,year,authors,venue,doi,url,source
ukf ekf localization mobile robot,Mobile G2C services typology: The standardized reality in Greek Municipalities,2114,Theodora Zarmpou; Maro Vlachopoulou,International Journal of Strategic Innovative Marketing,10.15556/ijsim.01.03.004,https://doi.org/10.15556/ijsim.01.03.004,Crossref (latest topic aligned)
ukf ekf localization mobile robot,Impact d’un stage en unité spécialisée en soins palliatifs sur les représentations des étudiants en soins infirmiers. Étude qualitative au sein d’une équipe mobile de soins palliatifs,2030,Michaël Chenevez; Marc Degois; Géraldine Blanchot-Gruet; Frédéric Ferreres; Angelina Morra; Marie-Jeanne Zanatta; Florence Mathieu-Nicot; Aline Chassagne,Santé Publique,10.3917/spub.pr2.0061,https://doi.org/10.3917/spub.pr2.0061,Crossref (latest topic aligned)
ukf ekf localization mobile robot,Model-free Multivariate Change Point Detection and Localization with Statistical Guarantee,2028,Xin Xing; Zuofeng Shang; Hongyu Miao; Pang Du,Statistica Sinica,10.5705/ss.202024.0320,https://doi.org/10.5705/ss.202024.0320,Crossref (latest topic aligned)
ukf ekf localization mobile robot,Determinants of perception of youth towards mobile banking: imprint from scale construction,2028,Aman Garg; Mamta Rani; Shubham Garg; Sangeeta Mittal,International Journal of Electronic Finance,10.1504/ijef.2028.10070471,https://doi.org/10.1504/ijef.2028.10070471,Crossref (latest topic aligned)
ukf ekf localization mobile robot,Dancing in the Rain: The Effectiveness of Mobile Platform for Learning Ten Qira’at,2027,Muhammad Shahrizan Shahrudin; Mu’azah Md. Aziz; Ainul Maulid Ahmad; Abdul Hakim Mahadzir; Muhd Thoriq Asshiddiq Che Ahmad,International Journal of Academic Research in Business and Social Sciences,10.6007/ijarbss/v14-i5/21493,https://doi.org/10.6007/ijarbss/v14-i5/21493,Crossref (latest topic aligned)
ukf ekf localization mobile robot,An investigative strategy for the iPhone forced entry zero-click exploit for mobile espionage,2027,Naveen Chaudhary; Nilay Mistry; Kritarth Jhala,International Journal of Electronic Security and Digital Forensics,10.1504/ijesdf.2027.10072148,https://doi.org/10.1504/ijesdf.2027.10072148,Crossref (latest topic aligned)
ukf ekf localization mobile robot,Concept map-facilitated game-based learning in the mobile era: a systematic review of journal publications from 2009 to 2024,2027,Ding Yuan Chen; Siang Yun Huang; Chi Jen Lin,International Journal of Mobile Learning and Organisation,10.1504/ijmlo.2027.10073334,https://doi.org/10.1504/ijmlo.2027.10073334,Crossref (latest topic aligned)
ukf ekf localization mobile robot,Examining primary school learners awareness and readiness to utilise mobile devices for self-online learning,2027,Patrick Duffy Bayuong; Train Tening Bato; Muhammad Firdauz Mohd Zainal; Angela Felix Arip; Alan Gibson Ricky,International Journal of Mobile Learning and Organisation,10.1504/ijmlo.2027.10076858,https://doi.org/10.1504/ijmlo.2027.10076858,Crossref (latest topic aligned)
ukf ekf localization mobile robot,Fractional observer-based model-free controller applied to a cylindrical robot,2027,Mario Alberto Hernandez; Jose De Jesus Rubio N.A.; Francisco Javier Rosas; Manuel Olan; Jose Eduardo Hernandez; Luis Enrique Angeles; Victor Viveros; Jaime Pacheco,International Journal of Automation and Control,10.1504/ijaac.2027.10076247,https://doi.org/10.1504/ijaac.2027.10076247,Crossref (latest topic aligned)
ukf ekf localization mobile robot,Adaptive state augmented backstepping control with NN approximation for 3-DOF robot under backlash like hysteresis,2027,Riya Kumari; Ramesh Kumar; Gagan Deep Meena,International Journal of Automation and Control,10.1504/ijaac.2027.10075794,https://doi.org/10.1504/ijaac.2027.10075794,Crossref (latest topic aligned)
ukf ekf localization mobile robot,Advancements of robot-assisted language learning in the mobile era: a systematic review and bibliometric analysis,2027,Yun Shan Lee; Gwo Jen Hwang; Pei Ying Chen,International Journal of Mobile Learning and Organisation,10.1504/ijmlo.2027.10075574,https://doi.org/10.1504/ijmlo.2027.10075574,Crossref (latest topic aligned)
ukf ekf localization mobile robot,Enhancing English language acquisition through mobile technologies: a systematic review and meta-analysis of experimental studies,2027,Erfan Hashemi; Mahdi Norouzvand,International Journal of Mobile Learning and Organisation,10.1504/ijmlo.2027.10076362,https://doi.org/10.1504/ijmlo.2027.10076362,Crossref (latest topic aligned)
ukf ekf localization mobile robot,Determinants of Engagement with Health Insurance Mobile Apps to Enhance the Quality Of Life,2027,Wajdy Omran; Salsal Sadek Kanaan,International Journal of Applied Management Science,10.1504/ijams.2027.10072249,https://doi.org/10.1504/ijams.2027.10072249,Crossref (latest topic aligned)
ukf ekf localization mobile robot,A Finite State Machine Model for Mitigating Mobile Money Social Engineering Attacks,2027,Patrick Kwabena Mensah; Felix Adebayo Adekoya; Selorm Kofi Tagbo,International Journal of Computational Systems Engineering,10.1504/ijcsyse.2027.10068479,https://doi.org/10.1504/ijcsyse.2027.10068479,Crossref (latest topic aligned)
ukf ekf localization mobile robot,A Network Model for a Mobile Learning Environment to Track Students' Progress,2027,Xiaotong Li; Chengliang Huang; Fumin Zhang,International Journal of Computational Systems Engineering,10.1504/ijcsyse.2027.10064743,https://doi.org/10.1504/ijcsyse.2027.10064743,Crossref (latest topic aligned)
ukf ekf localization mobile robot,Advanced gain-boosted CMOS LDO regulator for enhanced load regulation in RFSoC and mobile systems,2027,Hatim Ameziane; Mourad Yessef,International Journal of Automation and Control,10.1504/ijaac.2027.10075192,https://doi.org/10.1504/ijaac.2027.10075192,Crossref (latest topic aligned)
